,"2017","2017","2017","2016","2016","2016","2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
,"Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths"
,"HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS"
"Country","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years"
"Bahrain","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0"
"Bangladesh","0","22","22","0","23","23","0","24","24","0","25","25","0","26","26","0","24","24","0","26","26","0","25","25","0","26","26","0","24","24","0","21","21","0","18","18","0","15","15","0","12","12","0","9","9","0","7","7","0","6","6","0","4","4"
"Barbados","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","2","2","0","2","2","0","3","3"
"Belarus","0","14","14","0","13","13","0","10","10","0","6","6","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2"
"Belgium","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Belize","0","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","2","2","0","2","2","0","3","3","0","2","2","0","3","3","0","3","3","0","6","6","0","6","6","0","8","8","0","6","6","0","4","4","0","1","2","1","2","3"
"Benin","4","367","371","5","456","461","6","562","568","6","595","601","6","608","614","7","650","657","7","648","655","7","645","652","7","676","683","8","750","758","8","768","776","8","814","822","8","828","836","8","834","842","8","829","837","8","813","821","8","782","790","7","736","743"
"Bhutan","0","5","5","0","5","5","0","4","4","0","4","4","0","4","4","0","4","4","0","4","4","0","4","4","0","4","4","0","4","4","0","4","4","0","4","4","0","4","4","0","4","4","0","2","2","0","2","2","0","2","2","0","2","2"
"Bolivia (Plurinational State of)","0","11","11","0","15","15","0","25","25","0","25","25","0","27","27","0","27","27","0","35","35","0","41","41","0","49","49","1","52","53","1","51","52","1","50","51","0","49","49","0","46","46","0","43","43","0","39","39","0","35","35","0","31","31"
"Bosnia and Herzegovina","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Botswana","2","150","152","2","187","189","2","194","196","2","219","221","2","206","208","3","291","294","4","368","372","4","360","364","6","573","579","7","711","718","8","798","806","10","978","988","13","1291","1304","16","1617","1633","19","1839","1858","20","2012","2032","22","2153","2175","22","2214","2236"
"Brazil","1","56","57","1","45","46","2","67","69","0","64","64","0","95","95","0","106","106","0","78","78","1","123","125","0","100","100","3","157","160","8","150","158","3","196","199","1","193","195","4","230","234","0","316","316","8","367","375","7","487","494","2","546","548"
"Brunei Darussalam","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bulgaria","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Burkina Faso","3","255","258","3","334","337","4","385","389","4","443","447","5","527","532","6","580","586","6","633","639","6","637","643","10","962","972","11","1098","1109","12","1200","1212","14","1362","1376","16","1536","1552","17","1701","1718","19","1857","1876","20","2010","2030","22","2146","2168","23","2267","2290"
"Burundi","2","232","234","3","248","250","3","284","287","3","313","316","4","425","429","4","421","425","5","543","548","7","655","662","8","830","838","9","922","931","11","1044","1055","11","1137","1148","13","1251","1264","14","1369","1383","15","1466","1481","16","1549","1565","16","1625","1641","17","1681","1698"
"Cabo Verde","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2","0","4","4","0","6","6","0","6","6","0","8","8","0","8","8","0","10","10","0","12","12","0","14","14","0","15","15","0","16","16","0","16","16","0","16","16","0","16","16"
"Cambodia","0","12","12","0","18","18","0","23","23","0","33","33","0","48","48","1","59","60","1","72","73","1","100","101","1","134","135","2","214","216","3","299","302","3","337","340","4","388","392","4","434","438","5","465","470","5","491","496","5","505","510","5","501","506"
"Cameroon","23","2298","2321","23","2247","2270","25","2440","2465","29","2845","2874","32","3121","3153","36","3548","3584","40","3935","3975","44","4320","4364","50","4914","4964","50","4996","5046","53","5199","5252","53","5238","5291","53","5293","5346","52","5187","5239","51","5088","5139","49","4892","4941","47","4607","4654","43","4224","4267"
"Canada","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"Central African Republic","5","466","471","4","439","443","6","619","625","7","718","725","8","759","767","7","741","748","8","783","791","9","848","857","10","948","958","11","1045","1056","11","1137","1148","13","1261","1274","14","1427","1441","16","1551","1567","17","1667","1684","18","1768","1786","19","1851","1870","19","1904","1923"
"Chad","6","580","586","5","508","513","7","699","706","8","837","845","9","847","856","10","955","965","11","1046","1057","11","1092","1103","12","1180","1192","13","1244","1257","13","1298","1311","13","1334","1347","13","1325","1338","14","1390","1404","14","1422","1436","14","1384","1398","14","1353","1367","13","1306","1319"
"Chile","0","1","1","0","1","1","0","0","0","0","1","1","0","0","0","0","1","1","1","1","2","0","7","7","0","2","2","0","4","4","0","3","3","0","5","5","0","3","3","0","1","1","0","4","4","0","7","7","0","6","6","0","4","4"
"China","1","101","102","1","99","100","1","86","87","1","104","105","1","144","145","1","137","138","2","200","202","3","286","289","5","484","489","6","604","610","7","652","659","6","599","605","6","625","631","6","642","648","7","647","654","6","623","629","6","583","589","5","541","546"
"Colombia","0","13","13","0","13","13","0","21","21","0","13","13","0","9","9","0","23","23","0","28","28","2","30","32","0","37","37","1","26","27","0","51","51","0","45","45","0","58","58","0","67","67","0","67","67","0","45","45","4","46","50","8","43","51"
"Comoros","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2"
"Congo","10","982","992","9","907","916","9","891","900","9","885","894","8","836","844","8","825","833","9","851","860","8","841","849","9","858","867","9","880","889","9","905","914","9","915","924","9","919","928","9","928","937","10","951","961","10","976","986","10","1002","1012","10","1022","1032"
"Cook Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Costa Rica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","2","2","0","2","2"
"Côte d'Ivoire","21","2106","2127","24","2374","2398","27","2707","2734","29","2892","2921","31","3083","3114","33","3300","3333","36","3580","3616","40","3917","3957","43","4232","4275","48","4787","4835","54","5369","5423","58","5765","5823","61","6037","6098","65","6437","6502","68","6728","6796","71","6994","7065","73","7263","7336","76","7477","7553"
"Croatia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cuba","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","0","0","0","0","2","2","0","1","1","0","2","2","0","0","0","0","0","0"
"Cyprus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Czechia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Democratic People's Republic of Korea","0","4","4","0","4","4","0","4","4","0","4","4","0","4","4","0","4","4","0","4","4","0","4","4","0","4","4","0","4","4","0","4","4","0","4","4","0","4","4","0","4","4","0","4","4","0","4","4","0","4","4","0","4","4"
"Democratic Republic of the Congo","20","2013","2033","23","2282","2305","33","3262","3295","38","3755","3793","42","4135","4177","51","5010","5061","56","5593","5649","60","5922","5982","65","6406","6471","69","6791","6860","72","7170","7242","75","7468","7543","78","7731","7809","81","8018","8099","83","8186","8269","83","8236","8319","82","8165","8247","81","7997","8078"
"Denmark","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Djibouti","0","37","37","0","39","39","0","44","44","0","43","43","0","39","39","1","54","55","1","60","61","1","64","65","1","67","68","1","72","73","1","79","80","1","86","87","1","93","94","1","97","98","1","99","100","1","99","100","1","94","95","1","87","88"
"Dominica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dominican Republic","0","39","39","0","37","37","0","23","23","0","13","13","0","21","21","0","21","21","0","36","36","1","61","62","1","107","108","2","165","167","2","223","225","3","264","267","3","300","303","3","331","334","4","352","356","4","357","361","4","358","362","4","356","360"
"Ecuador","0","6","6","0","6","6","0","9","9","0","3","3","0","6","6","0","8","8","0","9","9","0","10","10","0","15","15","0","34","34","0","56","56","0","59","59","0","58","58","0","58","58","0","59","59","0","60","60","0","61","61","0","62","62"
"Egypt","0","48","48","0","44","44","0","41","41","0","37","37","0","33","33","0","29","29","0","25","25","0","21","21","0","19","19","0","18","18","0","16","16","0","14","14","0","13","13","0","12","12","0","11","11","0","10","10","0","9","9","0","8","8"
"El Salvador","0","43","43","0","35","35","0","35","35","0","35","35","0","25","25","0","27","27","0","36","36","0","37","37","0","36","36","0","35","35","0","35","35","0","33","33","0","31","31","0","35","35","0","43","43","0","49","49","1","52","53","1","50","50"
"Equatorial Guinea","2","236","238","2","224","226","2","224","226","2","202","204","2","240","242","3","270","273","3","262","265","2","245","247","2","235","237","2","211","213","2","197","199","2","186","188","2","177","179","2","166","168","2","152","154","1","139","140","1","124","125","1","111","112"
"Eritrea","1","64","65","1","62","63","1","58","59","1","58","59","1","68","69","1","79","80","1","89","90","1","103","104","1","114","115","1","134","135","2","156","158","2","187","189","2","203","205","2","219","221","2","224","226","2","223","225","2","219","221","2","211","213"
"Estonia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Eswatini","3","318","321","3","334","337","3","311","314","4","385","389","4","421","425","5","467","472","7","734","741","10","986","996","12","1144","1156","12","1211","1223","12","1214","1226","13","1296","1309","15","1495","1510","15","1499","1514","15","1496","1511","15","1467","1482","14","1428","1442","14","1355","1369"
"Ethiopia","23","2252","2275","22","2205","2227","23","2320","2343","26","2583","2609","30","2986","3016","38","3738","3776","45","4475","4520","53","5218","5271","60","5961","6021","69","6804","6873","79","7854","7933","90","8894","8984","102","10068","10170","114","11250","11364","126","12508","12634","138","13672","13810","148","14681","14829","156","15414","15570"
"Fiji","0","2","2","0","2","2","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","2","2","0","2","2","0","2","2","0","1","1","0","2","2","0","2","2","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0"
"Finland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"France","0","1","1","0","1","1","0","2","2","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","5","5","0","3","3","0","0","0","0","0","0","0","2","2","0","0","0","0","2","2","0","3","3","0","1","1","1","3","4"
"Gabon","1","147","148","2","164","166","2","203","205","2","232","234","3","256","259","3","267","270","3","279","282","3","285","288","3","293","296","3","310","313","3","311","314","3","311","314","3","297","300","3","289","292","3","279","282","3","267","270","3","252","255","2","236","238"
"Gambia","1","95","96","1","93","94","1","97","98","1","89","90","1","71","72","1","67","68","1","76","77","1","120","121","2","153","155","2","176","178","2","176","178","2","172","174","2","164","166","2","156","158","1","145","146","1","129","130","1","113","114","1","96","97"
"Georgia","0","1","1","0","2","2","0","0","0","0","1","1","0","1","1","0","2","2","0","2","2","0","0","0","0","2","2","0","2","2","0","3","3","0","2","2","0","3","3","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2"
"Germany","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","1","0","1","1","0","3","3","0","0","0","0","0","0","0","2","2","0","2","2","0","1","1","0","5","5"
"Ghana","22","2135","2157","22","2139","2161","22","2162","2184","23","2264","2287","23","2296","2319","23","2308","2331","25","2511","2536","28","2774","2802","29","2915","2944","30","2963","2993","32","3182","3214","34","3359","3393","34","3402","3436","34","3400","3434","34","3357","3391","33","3283","3316","32","3179","3211","31","3043","3074"
"Greece","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"Grenada","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Guatemala","2","161","163","1","146","147","1","132","133","1","104","105","1","89","90","1","116","117","1","110","111","1","121","122","1","124","125","1","127","128","1","137","138","1","131","132","1","143","144","1","143","144","1","136","137","1","118","119","1","104","105","1","91","92"
"Guinea","6","559","565","6","572","578","6","632","638","5","504","509","7","706","713","8","831","839","9","860","869","9","908","917","9","919","928","9","912","921","10","941","950","10","998","1008","10","1015","1025","10","1017","1027","10","1017","1027","10","1014","1024","10","1005","1015","10","988","998"
"Guinea-Bissau","2","229","231","2","221","223","2","199","201","2","223","225","3","294","297","3","340","343","4","362","366","4","377","381","4","383","387","4","383","387","4","372","376","4","363","367","4","353","357","3","330","333","3","304","307","3","274","277","2","245","247","2","214","216"
"Guyana","0","6","6","0","6","6","0","7","7","0","6","6","0","4","4","0","10","10","0","6","6","3","2","5","0","4","4","0","10","10","5","22","27","0","17","17","0","30","30","0","32","32","0","36","36","0","42","42","0","33","33","0","22","22"
"Haiti","5","456","461","4","442","446","4","397","401","4","381","385","4","382","386","5","449","454","6","559","565","6","582","588","6","584","590","7","668","675","7","703","710","8","819","827","9","891","900","9","916","925","9","918","927","9","909","918","9","897","906","9","876","885"
"Honduras","0","45","45","0","37","37","0","29","29","0","23","23","0","23","23","0","20","20","0","23","23","0","29","29","0","34","34","1","57","58","1","77","78","1","88","89","1","106","107","1","133","134","2","156","158","2","172","174","2","187","189","2","199","201"
"Hungary","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Iceland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"India","15","1518","1533","19","1894","1913","22","2178","2200","23","2276","2299","25","2487","2512","27","2648","2675","32","3127","3159","38","3804","3842","43","4230","4273","51","5029","5080","60","5968","6028","70","6907","6977","79","7804","7883","88","8753","8841","97","9598","9695","105","10412","10517","112","11093","11205","118","11667","11785"
"Indonesia","19","1899","1918","19","1914","1933","19","1924","1943","19","1926","1945","19","1896","1915","18","1787","1805","16","1629","1645","15","1450","1465","14","1337","1350","12","1209","1221","10","1013","1023","8","830","838","7","658","665","5","503","508","4","371","375","3","266","269","2","186","188","1","128","129"
"Iran (Islamic Republic of)","0","35","35","0","43","43","0","48","48","1","55","56","1","59","60","1","64","65","1","67","68","1","65","66","1","62","63","1","60","61","1","62","63","1","60","61","1","57","58","1","54","55","1","50","51","0","47","47","0","45","45","0","41","41"
"Iraq","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ireland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Israel","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","1","1","0","0","0"
"Italy","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","1","1","0","0","0","0","0","0","0","3","3","0","3","3","0","0","0","0","0","0","0","0","0","0","8","8"
"Jamaica","0","6","6","0","6","6","0","4","4","0","5","5","0","10","10","0","10","10","0","10","10","0","12","12","0","17","17","0","18","18","0","36","36","1","59","60","1","88","89","1","110","111","1","120","121","1","130","131","1","136","137","1","142","143"
"Japan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordan","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2","0","0","0","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2"
"Kazakhstan","0","16","16","0","13","13","0","11","11","0","10","10","0","9","9","0","8","8","0","6","6","0","7","7","0","8","8","0","8","8","0","8","8","0","8","8","0","6","6","0","6","6","0","4","4","0","6","6","0","5","5","0","4","4"
"Kenya","28","2807","2835","29","2878","2907","33","3252","3285","39","3882","3921","44","4359","4403","53","5266","5319","58","5762","5820","65","6393","6458","75","7415","7490","100","9940","10040","123","12128","12251","137","13533","13670","152","15070","15222","168","16595","16763","177","17557","17734","185","18362","18547","193","19059","19252","198","19575","19773"
"Kiribati","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kuwait","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kyrgyzstan","0","0","0","0","2","2","0","0","0","0","0","0","0","1","1","0","1","1","0","1","1","0","1","1","0","8","8","0","5","5","0","5","5","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
